id,name
1666,PCNA
34434,GALM
34436,KIF11
1668,SCN8A
1672,SGMS1
34440,COL11A1
1674,RRP9
34447,USP38
34458,DIDO1
1694,EIF5A2
34462,STX11
1695,SMPD2
1698,ASCC2
34467,ZNF362
1701,MCM6
34470,IQUB
34472,UBE2T
34474,TAF8
34484,OPN4
34485,YLPM1
34486,MRPL23
34487,RBBP8NL
1720,ACR
34492,PLG
1728,TPCN1
34497,FAM102B
1730,SLITRK3
1734,KANSL2
34509,LATS2
1742,PABPC1
34516,ITGAV
1750,MED15
34521,HECTD3
1753,HOXA13
34522,C1GALT1
34526,KRT20
34527,MSH2
1762,NSRP1
34531,RPL7
1765,NUS1
1766,KLK6
34534,OPRPN
1773,PTBP2
1775,BCLAF1
1776,UBE2U
1782,LPP
1788,CTNNA1
1793,MUC17
34565,VAPA
1815,HLA-DRA
34584,IL4R
34587,PHF20L1
34588,FYCO1
34592,SULT2B1
1827,PPP3R1
34595,MKLN1
1830,JAZF1
34601,CD3EAP
1841,PLA2G2E
1844,BPTF
34612,PARP3
1846,ZC3HAV1L
34614,LRRC75A
1852,CSPP1
1854,PDSS2
34622,GDF10
1855,TPD52L2
34627,ADH7
34630,GPRC5C
34631,DUSP9
1865,CEP250
34634,APCDD1L
34633,SWAP70
1867,ALDH4A1
1870,ATXN10
34642,SEC22A
1877,NSMCE1
1885,ATM
34653,CD36
34657,BCCIP
34658,SMPD1
34659,CEP128
1892,GPANK1
34662,MCL1
1898,STAM2
1899,OTUD7B
1900,PCLO
1901,MED21
1906,TMEM169
34675,KRT4
1912,IRF6
34689,SERPINA3
1923,TERF2
34692,TDP1
34695,RHBDL2
1933,MID2
1949,GPD1L
1950,MZB1
34724,CALM1
1958,EPHA8
1960,ZNF148
34733,MASP1
1966,RNF213
1971,GTF3C4
1979,ULBP2
34750,FMR1
1986,CHRNB3
1987,CARD16
34756,TSN
1994,RILP
1995,SMPDL3A
1998,OVOL2
2002,GPC6
34774,PRR4
2011,GCK
34780,PTCD1
34784,EVL
34785,ZNF282
34787,KIAA0319L
34790,TGM6
2023,HEATR1
34792,BSG
2024,PDE1B
2026,GFRA4
34799,HAAO
34801,PPP3CC
34813,VSX1
2049,CDC25C
2055,MID1
34823,ATP8B2
2057,THADA
2062,USP39
34833,HMCN1
34834,ACOT12
34835,CELF3
2076,PLIN2
2079,KDM3A
34848,IGSF11
2083,C20orf27
34852,GZMB
2084,P4HB
34855,COL5A3
2093,SLC25A21
34863,BAG6
34864,KCNH4
34872,SPRY2
34874,CCNB1IP1
34875,HDHD5
2113,REXO5
34885,ESD
2120,CABP1
34891,HDDC3
2123,PTCH1
2125,OLFM4
34896,ZNF331
34899,BBX
34900,TERF1
34905,TMEM115
34908,STX6
2143,DNAJC11
34914,CRIM1
2149,SNRK
34927,ZNF143
34928,ZC3H7B
34931,IKBIP
34934,BEND3
2170,TKFC
34948,CHRNB2
2183,SH3BGR
2184,OR5H14
34953,ABCC1
34951,TARBP1
2188,GPR68
2189,MKRN2
34961,SUB1
2194,PRKAR2A
2196,FAM3C
34965,PDCD7
2201,SPTSSA
2209,SGSM1
34987,ECT2
34988,MACROD2
34990,CNBP
34991,FCHO1
34996,FAM71D
2229,POLG2
35002,LRRFIP2
35004,SH3RF2
2241,CALY
35010,ID1
2244,POLK
35012,CDK7
35015,SPAST
2249,HBQ1
2260,SCN9A
2263,C11orf24
35032,SLC23A2
2265,ITPRIP
2267,PPL
35039,FUT3
2272,NPM3
35045,ADD1
2282,EZH1
2283,GPSM2
2284,KCNA3
35052,RPIA
2290,IPO4
2291,SLC17A7
35067,GINS2
35079,SLC6A4
35085,HOXC12
2329,RPN1
35103,LYN
2337,GNB4
2340,ZNF260
35108,UFD1
35112,SLC10A5
35113,GON4L
35114,NKG7
35117,MIPOL1
35122,AP3D1
35123,HIPK4
35124,HOOK1
2357,MFF
2358,TAF5
2363,RNASE1
2365,BRD8
2366,ATP6AP2
35134,TLX1
35136,SLC38A1
35140,SGTA
35143,PABPN1
35144,DAPK2
35149,PRKAR1B
2383,GPC3
35154,PITPNM1
2389,E4F1
35157,NAALADL2
35163,LDHC
2396,LRRN1
35166,PRR5
2398,RPS6KA5
35172,TONSL
35173,DPEP2
2411,CXXC4
35180,ADAM19
2414,FAHD2A
2418,SRP9
2420,MMP14
35189,EFCAB5
2429,GIPC1
35199,ATP5F1D
35202,GGCT
35208,ABCB9
2445,ZNF831
2447,DMP1
2449,RTN3
35220,LSM12
2452,ZIC3
35222,CPSF1
2458,ARHGAP31
35241,PLEKHG7
35242,MTRR
2475,MOGAT2
2483,SNX2
2487,MECP2
2497,MAML1
35265,CADM4
2501,PCDH18
35269,SDR42E1
35274,SMG1
35277,CXCR3
2511,DAP
35283,MRPS12
35286,JADE2
2520,PDZD9
35289,PMM2
2522,PPP1R3F
2532,UBE2D4
2535,PAQR6
35308,IL10
35311,CMA1
35313,STARD7
35314,TAF1
2546,KBTBD7
35316,ADAMTSL4
2548,YEATS4
2553,HTATIP2
2560,NR2C1
2562,BCORL1
35330,KLF11
35335,TRIM28
2568,RNF126
2572,PPP4R3B
2573,TRAF1
2574,NACA2
2583,IMPDH2
2585,PLSCR2
2586,NAPA
35355,ZNF76
35356,COLGALT2
2590,PTPN23
2594,TMEM259
35366,INTU
2600,CSNK1G1
2604,PRKACB
35376,EPC1
35381,SRMS
35386,MPG
2620,SUCLA2
2621,LRRN4CL
2624,SNIP1
2626,THPO
2627,MESP2
35396,MAD1L1
35399,DLEC1
2639,ADAMTS8
35410,PYGO2
35412,GABRG3
2645,ANAPC13
2649,RXFP3
35418,AP2A1
2651,NR3C1
2653,MMP13
35422,SARDH
35426,PAXIP1
35428,REX1BD
2661,RGS19
2664,TMEM97
2669,ADAMTSL5
35437,TRMT2A
35439,KCNQ4
2673,SNX8
2678,LCN6
35449,STK26
2683,CNGB1
2684,PLEKHF2
2686,OSBPL11
35456,ASCL3
35461,PTN
35462,RAD51AP1
2697,C11orf58
35466,PNPLA4
2700,CASK
35470,CKAP5
2702,BCAP31
2707,FLVCR1
35475,TRAT1
35477,POLR3GL
35480,LNPK
35484,DGKA
35485,NLRP1
35487,GBP4
2721,KIRREL1
35490,NRAP
35489,TIPIN
2722,ATP8B1
2731,ZNHIT3
2733,ACD
35504,SMAP2
35508,YPEL5
35513,HOXD11
35519,SLC5A1
35531,WFDC13
35532,TM9SF1
35545,AKNA
35548,ZNF692
35549,CUX1
35552,TTR
2794,ARMC1
35565,GEMIN5
2804,ARID1B
35580,BCAT2
2812,FBXO6
2821,PHAX
35590,PRKAA1
2828,SP110
35598,BROX
2831,CCND3
2833,PROSER2
35602,KMT5A
35603,CCDC190
2837,SRI
2839,POLDIP3
35608,TNPO2
35607,FCGR3A
2844,RABGGTA
35617,LMAN1L
2849,TOMM70
35620,ZGPAT
2857,GABRA6
2858,FAM241B
2860,FMR1NB
35630,DYNLL1
2863,DHCR7
35632,ASF1A
2866,TXNL1
2867,TMEM209
35636,GRINA
2869,OAS2
35640,RPL32
2872,FRMD6
35644,DAP3
2877,TCTN3
2880,TRAPPC2L
2882,HOXB6
2888,SLC16A1
35656,MED17
2891,KATNAL1
2897,ERN2
35670,IRF2
2903,PLCE1
2904,DHX38
35675,LIN7C
35680,AKR1B10
35684,ACSS1
35685,NOL8
35686,MTNR1A
2919,CHD7
35693,DYNLRB1
2926,RASA3
35695,UQCR11
2925,TSPYL1
2930,UNC13C
2931,ALKBH5
35700,RRP1
35701,OPTN
2940,CDC16
35708,ISCA2
35709,APRT
35711,CDR2L
35712,EFNA5
2942,ZNF451
35715,ALPK2
35717,C5orf22
2952,HK3
2954,ANKRD13C
2955,BTG1
2960,KCTD2
2965,ATP5PD
35738,CXCR1
35744,SULT1A2
35745,NDUFC1
2977,ZFP69
2984,KRT6B
2986,RAB12
2992,SLC45A4
35760,HDAC5
35764,GFPT1
35765,CDK11A
2998,NDUFA10
3004,OBP2A
3005,PWP1
35783,RPUSD2
35788,FBXO8
3021,KIF1A
35790,THOC7
35791,CFI
35799,ALKBH7
3032,EXOSC10
3037,IRX5
3042,TBPL1
35813,CCDC28A
35815,PJA2
3049,ERG
3050,TIMM22
35825,GABRA1
35828,ABCF1
35829,ITFG2
35832,NELFA
35834,UBASH3B
3071,GPR151
3075,SIL1
35844,TMC4
35843,TRIM15
3077,QSOX2
35850,BUB1
3084,FFAR2
3097,PDS5A
35866,POLR3G
3110,SCPEP1
35888,DEPDC1
35892,NOTCH1
3128,SPHK2
35896,KSR1
3132,ZMAT1
3133,NLGN3
3135,SEH1L
35909,STK32A
3142,PRDX3
35911,SGK1
35915,POFUT1
35917,MAP2K1
35919,TBC1D5
3158,TRIM41
35928,TESMIN
3165,ALDH2
35934,KRT6A
3168,EDN1
35937,CSN1S1
3171,SNX13
35941,ZNF248
3174,CDK17
35943,TMCO5A
35958,SYT16
35959,NUDT5
3195,CD70
3203,MEP1A
35985,EXOSC9
3219,SELENOS
35990,DENND4A
3226,FURIN
35995,GAL3ST1
3227,ANKRD13A
3231,SLC24A3
3232,DAPP1
36000,PCOLCE2
3237,MEAF6
3239,B3GAT3
36012,CCR6
36013,TTLL7
36018,MUC4
3252,FOXRED1
36023,SNRNP27
36028,PATJ
36034,LHFPL4
3271,CGREF1
3276,HEATR6
36045,ANKRD28
36047,SERPINI1
3287,LSS
3290,TYRO3
36058,PIP5KL1
3295,PPP1R15B
3297,NUMA1
36066,KRT27
36067,INCENP
36078,ENY2
36079,TBCE
3314,SGF29
36090,APOBEC2
3322,MFSD14B
3326,TSSK6
36096,FARSB
3336,CCDC90B
36106,TOE1
36110,GLUD2
36115,MT2A
36118,PANK4
36119,CDK16
3355,FH
3357,LGALS4
36126,DISC1
3360,EEF1AKMT1
3361,CRYZ
3365,NR2C2
3368,NFE2L1
36141,CDH2
36143,C8orf48
36150,FAM83B
36151,SSTR4
3383,TMEM87A
36164,MAFF
36167,CCS
36185,PAG1
36186,DNMT1
36197,RHBDD2
36198,SEMA5A
3431,ZNF485
3434,LRRC31
3436,TLR4
3440,NDFIP2
36212,MMEL1
36213,TMEM223
3448,FAF1
36217,ERRFI1
36219,PTPRM
3451,KLF3
36223,CTCF
3459,MRPL35
3460,RANGRF
36229,C2CD2L
3465,ARNTL
3468,RPS6KA1
36238,IRX2
3471,CXCR4
36242,KBTBD4
36243,DCTN1
36247,TXNRD1
36248,ZBTB1
36251,TMEM214
36255,SLC38A6
3489,UPF3B
3490,CNNM3
3493,ITGB6
3498,CKS1B
3501,GCC1
3504,MCCC1
36276,YBEY
36278,SMUG1
36279,ZNF667
3511,RPL15
36283,NIF3L1
36289,MGLL
3531,PMPCA
36300,FGG
3533,IMP3
36302,LGALS3BP
36306,PLXNA3
3538,SCLT1
3548,CCDC144NL
36331,PPME1
3566,TRIM21
3569,MLLT1
3570,GOSR2
36342,S100A6
3577,CYP46A1
3579,SLC38A11
36349,TNKS1BP1
36350,CEP192
36351,PPARD
36365,PP2D1
3599,WT1
3602,CHMP1A
36370,ETV5
36379,CHMP1B
36381,TLN1
36382,SHKBP1
3613,BBC3
3615,SYNGR2
3619,ISL2
3622,CRB3
36392,RCAN3
3626,NTNG1
3631,MYO19
36400,CNIH4
36399,PHF21A
3634,CD14
36403,ARNT
3635,SNAPC2
3637,POLR1B
36402,GSR
3639,MAP3K3
36408,RPL28
36410,MALL
36414,PKNOX1
36419,RABGEF1
36420,TRIM72
3653,FAM217B
3654,SRGAP3
36432,ITGB5
3666,DAZL
36435,CKM
36434,SLC22A15
3670,USP4
3671,DZIP1
3673,FBXL20
36443,RPL13
3675,OGG1
36446,KIF2C
3681,KALRN
36454,OPALIN
3686,ZNF337
36460,ANK1
3696,KHDRBS2
36464,TRIM37
3706,KCNK15
36480,CTSC
3712,VGLL4
36483,ELFN2
36486,KMT2A
36489,RFNG
3722,FLI1
36492,LRRC57
36495,PGRMC1
36496,FZD4
3730,MFN1
3731,CTPS1
36501,C6orf58
3734,TULP2
3736,HPDL
36509,UNC45A
3744,BIRC2
3745,TOPBP1
3752,SQSTM1
3753,C19orf18
36522,HECW2
3759,TMBIM4
36530,FNDC4
36532,EHF
3765,FIP1L1
3766,ACTR5
3768,BCL2L2
36539,ENTPD3
3772,RASSF7
36540,POLE4
36541,SNAPC1
3775,PPP1R7
3773,RBFOX2
3780,TUBB3
3781,ZNF106
36555,MAP4K2
36556,C11orf65
36560,CELF5
36561,IGF2BP1
3796,DCAF15
3799,DONSON
3807,GEMIN7
3810,TNP1
36580,ACP1
3813,SLITRK2
3815,MYLK
36583,TMEM184C
36588,VWA3A
36589,FASTKD2
3820,SUPT16H
36591,OGDH
3824,EIF3H
3825,CLEC1A
36595,SPC25
36605,VSX2
36610,SRRT
36613,LRRTM4
3848,DNAJA2
36617,MED13L
3853,HES4
36625,FAM89B
3862,ZNF513
3865,CNR2
3867,EFCAB1
36644,CLINT1
3878,NUDT21
3883,EIF1
36654,SHF
3888,ACP4
36658,FOXO1
3892,GNA12
36662,LMNB1
3895,CCDC83
36665,CDC37L1
3898,APLP1
36666,C12orf56
3908,CLUH
3911,COL27A1
3914,PITX2
36688,SPHK1
36689,NSL1
3922,CNOT8
36692,UFC1
36700,C1orf116
36707,PELO
3942,NIFK
36713,TUBA1B
36720,UBQLN1
3953,UST
36723,KRT32
36728,COX8A
36733,CDCA2
3967,SLC26A3
3968,SOGA1
36737,GPN2
36738,MYL6
3971,ZNF16
3972,GGA2
3974,WRAP53
3978,WDR48
36747,KPNA5
3984,MRPS26
36758,ERCC4
3994,CDH5
36762,NME7
36766,TRPV5
36771,TMED3
4007,BAP1
4008,CES2
4010,DDX46
36779,TRAIP
4020,TMEM165
36793,AATF
4025,WNT11
36796,SLC36A2
4030,OAZ1
4033,BIRC6
4036,CLDN10
36805,TFAP2B
4038,GAPVD1
36806,WDR31
36808,MST1R
36815,SLC35D2
4048,SLC25A20
4050,CEP78
4051,FRRS1L
36820,HNRNPR
36819,ITGA10
36824,AMOT
4061,SECISBP2L
36830,LAMTOR2
36832,GPR39
36833,DDIAS
36835,APEX1
36840,ENDOG
4073,CAPRIN1
36842,MTX1
36843,ZNF154
4077,CYP1B1
4081,COG2
4083,CDKAL1
36852,SFMBT2
36853,APEX2
36856,CD163
4095,NR1I2
36863,SLC52A3
4100,RPAP1
36868,WDR82
4103,GLMP
36872,CIDEA
4112,HNF4A
4113,BLM
4116,PLPP6
4120,TMEM50A
36892,PIP4K2B
36903,KAT2A
36904,KLF7
36910,LPAR1
36913,TBC1D9B
36916,PDGFRA
4149,FOXL1
4152,ZNF517
4153,PRPF31
4155,PEAK1
4156,PHTF2
4160,CEACAM6
4165,PADI2
36940,SOX4
4172,TMEM71
36944,DNAJC30
4178,GTF2E2
4184,ATXN2
4186,CBX6
4189,PPP1CC
36960,TLK1
36976,ENPP6
4209,C12orf43
36977,STOML3
4213,JAG2
36984,C1orf210
4219,RARS2
36988,VPS29
36987,NAF1
36990,TIRAP
4223,MVD
36994,LCN15
37002,MAPT
4235,HES5
37005,PSMB9
37008,SLU7
37010,ZNF335
4243,GPR19
37020,CMIP
4254,PLN
37023,ARFGAP1
37024,CYLD
37027,UBE2I
37030,TRAPPC9
4262,TMEM35A
4270,SLC38A9
37042,PPM1M
37044,CDH19
4278,CLIC1
37049,SPATS2L
37060,FOXL2
